forecast_id,forecast_kst_dtm,kpx_group_1,kpx_group_2,kpx_group_3
forecast_0001,2025-01-01 01:00:00,17883.586370675537,18432.001788069705,15866.666508598435
forecast_0002,2025-01-01 02:00:00,17275.448481810374,17877.972909584987,15523.378517382225
forecast_0003,2025-01-01 03:00:00,15892.42640657862,16850.507351183234,14104.52794394937
forecast_0004,2025-01-01 04:00:00,15004.866700294777,16091.889822251766,13367.196547945003
forecast_0005,2025-01-01 05:00:00,14563.156383272903,16259.479552989698,12975.200938736964
forecast_0006,2025-01-01 06:00:00,14153.596994198511,15971.338253634945,12327.877718793605
forecast_0007,2025-01-01 07:00:00,12528.42101589803,13754.859821207927,11131.02962725437
forecast_0008,2025-01-01 08:00:00,11224.34895907783,13003.384672007036,10934.967302037723
forecast_0009,2025-01-01 09:00:00,11928.069786786073,13925.966336925252,11119.698572626945
forecast_0010,2025-01-01 10:00:00,13561.93576930626,13864.996908235646,12209.357815201347
forecast_0011,2025-01-01 11:00:00,14232.66946209783,13733.540157583042,12620.255554540905
forecast_0012,2025-01-01 12:00:00,13579.057874469638,14005.492804704061,11864.845573979768
forecast_0013,2025-01-01 13:00:00,13532.644235428608,13691.304216618691,11437.560138950988
forecast_0014,2025-01-01 14:00:00,13579.489177618354,13450.699743787603,11403.458338425895
forecast_0015,2025-01-01 15:00:00,12960.310737732776,13255.63497054302,10962.629484564848
forecast_0016,2025-01-01 16:00:00,12776.832309700441,12557.06985896684,10922.56455512565
forecast_0017,2025-01-01 17:00:00,12668.639954641962,12144.305745828906,10858.871434097906
forecast_0018,2025-01-01 18:00:00,12186.389662322477,12789.480463607633,11591.08859033458
forecast_0019,2025-01-01 19:00:00,12500.841094149919,13466.978916031547,11462.20397534272
forecast_0020,2025-01-01 20:00:00,14155.389273581264,15100.496144355919,13155.363218197373
forecast_0021,2025-01-01 21:00:00,14989.91115377854,16422.98602522153,14122.82417876196
forecast_0022,2025-01-01 22:00:00,15296.920002982735,16841.286686626703,13508.297608054645
forecast_0023,2025-01-01 23:00:00,15129.096796074095,16539.40639576002,13755.741787211538
forecast_0024,2025-01-02 00:00:00,14057.206204111511,15220.93002997638,13001.121211696869
forecast_0025,2025-01-02 01:00:00,12544.563283154492,13998.38510645867,10548.77340394652
forecast_0026,2025-01-02 02:00:00,12948.432048574894,13903.677393762868,10274.356720810641
forecast_0027,2025-01-02 03:00:00,11197.412523112005,12733.38503470862,9552.960421943837
forecast_0028,2025-01-02 04:00:00,10709.602303063815,11765.060170172823,9484.554367249377
forecast_0029,2025-01-02 05:00:00,10441.571123065234,11073.691298255675,8721.00187815121
forecast_0030,2025-01-02 06:00:00,9390.829814762892,9833.53247788665,7488.700490962598
forecast_0031,2025-01-02 07:00:00,8777.706981441657,9130.187263856727,7198.885295505025
forecast_0032,2025-01-02 08:00:00,7991.874652061278,8915.388563145714,6989.4304432573945
forecast_0033,2025-01-02 09:00:00,7342.0348732676175,8159.879979153304,5963.201598799004
forecast_0034,2025-01-02 10:00:00,6810.938097682049,7133.853017206153,5274.267856351208
forecast_0035,2025-01-02 11:00:00,5590.74751149505,6085.604203189756,4757.561566115425
forecast_0036,2025-01-02 12:00:00,6204.789193155452,7151.200366889871,5458.448881729098
forecast_0037,2025-01-02 13:00:00,6665.381933689394,7044.621059524624,5339.298301700752
forecast_0038,2025-01-02 14:00:00,7021.770140291079,6709.8602183515295,5600.192032939149
forecast_0039,2025-01-02 15:00:00,7655.046040876349,7395.604427224146,6068.04447067848
forecast_0040,2025-01-02 16:00:00,9249.735133373228,9231.078033023823,6925.24715527475
forecast_0041,2025-01-02 17:00:00,10446.988825856884,10499.824168499566,8683.9256087035
forecast_0042,2025-01-02 18:00:00,11403.234229558326,12278.983002795401,9750.903952016677
forecast_0043,2025-01-02 19:00:00,12379.443247023895,13569.557744316704,10733.911454492145
forecast_0044,2025-01-02 20:00:00,12573.710502153403,13828.700023094276,10242.385589378075
forecast_0045,2025-01-02 21:00:00,12601.282752799827,14105.568956714173,10427.927425203923
forecast_0046,2025-01-02 22:00:00,12603.080902126007,13800.210492516886,10583.335517131805
forecast_0047,2025-01-02 23:00:00,12897.831577285022,14981.299150582267,10515.365256010593
forecast_0048,2025-01-03 00:00:00,13245.69339854679,15407.45238043828,12337.3301688975
forecast_0049,2025-01-03 01:00:00,13175.799661224639,15834.20005733838,11491.482262760454
forecast_0050,2025-01-03 02:00:00,13068.823612544298,15311.175118164892,11276.194365166068
forecast_0051,2025-01-03 03:00:00,12458.929104362584,14727.997468247731,10262.515683530952
forecast_0052,2025-01-03 04:00:00,12333.03519618011,14600.861064836366,10951.37922767465
forecast_0053,2025-01-03 05:00:00,12419.396988462997,13769.513183749243,10769.806793218719
forecast_0054,2025-01-03 06:00:00,11697.78939584708,12901.0657217378,10011.242039524479
forecast_0055,2025-01-03 07:00:00,11935.235983449993,12135.790664513122,9638.763175625754
forecast_0056,2025-01-03 08:00:00,12273.451444124448,12506.069652066937,10195.045834464077
forecast_0057,2025-01-03 09:00:00,11406.74610225274,11187.550268104322,9054.182226464638
forecast_0058,2025-01-03 10:00:00,10821.112895996992,9762.140716175469,7384.221459794772
forecast_0059,2025-01-03 11:00:00,10995.129759326324,10404.147517968551,7997.662450829317
forecast_0060,2025-01-03 12:00:00,11286.338449421257,10367.348858857049,8108.40045380141
forecast_0061,2025-01-03 13:00:00,11506.760008877602,10585.97224170806,8343.346416388718
forecast_0062,2025-01-03 14:00:00,12397.075341214562,11601.319991117756,8901.962895073786
forecast_0063,2025-01-03 15:00:00,12753.264854749495,12466.668658107414,10114.320372817938
forecast_0064,2025-01-03 16:00:00,13337.786511002943,13296.672931061195,11052.355520493342
forecast_0065,2025-01-03 17:00:00,12946.679847947584,12593.541484614847,11169.649059813566
forecast_0066,2025-01-03 18:00:00,10929.591974729492,11885.58856647932,10810.044309039351
forecast_0067,2025-01-03 19:00:00,11717.811327922225,12930.504974683763,11817.181988817514
forecast_0068,2025-01-03 20:00:00,11765.978833174882,12808.262199460149,11226.21887232419
forecast_0069,2025-01-03 21:00:00,12173.176199912006,13294.644928264011,11388.568517791942
forecast_0070,2025-01-03 22:00:00,12483.61557378556,14019.05863600066,11650.292386302775
forecast_0071,2025-01-03 23:00:00,13580.003516022452,14368.046819435174,11882.895179379851
forecast_0072,2025-01-04 00:00:00,13904.759442318124,14792.054481991026,11888.213485766795
forecast_0073,2025-01-04 01:00:00,14328.661277377407,15342.929759634255,12138.58897046682
forecast_0074,2025-01-04 02:00:00,14875.297825037356,15398.567028104106,12510.576193921861
forecast_0075,2025-01-04 03:00:00,15599.753533721201,16170.999165860325,13584.691355005694
forecast_0076,2025-01-04 04:00:00,15835.989557705532,16326.458241893864,13440.011775313327
forecast_0077,2025-01-04 05:00:00,16269.914681334416,16626.488647339047,13706.199812016925
forecast_0078,2025-01-04 06:00:00,16103.448930463845,16552.802664908922,13063.005612705234
forecast_0079,2025-01-04 07:00:00,15385.465799004425,16260.619373737805,12259.40622496691
forecast_0080,2025-01-04 08:00:00,13699.060859986195,14579.69279602638,11403.571198128024
forecast_0081,2025-01-04 09:00:00,12374.819802944401,13125.056704715269,10827.42924200711
forecast_0082,2025-01-04 10:00:00,11085.720320717162,11903.964754394907,9853.637115877984
forecast_0083,2025-01-04 11:00:00,10683.457085653521,11854.4027556588,9388.669342287089
forecast_0084,2025-01-04 12:00:00,11188.688932648556,12200.745994893176,9554.731320221896
forecast_0085,2025-01-04 13:00:00,11545.43813664406,12124.635184483737,9808.45008530863
forecast_0086,2025-01-04 14:00:00,11298.117404465851,11925.717544632598,9635.427284357143
forecast_0087,2025-01-04 15:00:00,11056.196100411498,11903.101180268559,9388.206213002124
forecast_0088,2025-01-04 16:00:00,11474.200987957383,11438.435745097318,9211.836391717652
forecast_0089,2025-01-04 17:00:00,12307.207996753019,11897.008784382284,11102.382296323929
forecast_0090,2025-01-04 18:00:00,14209.120862652671,14060.630969948435,13499.550407498677
forecast_0091,2025-01-04 19:00:00,13936.659059317704,14729.65381028247,12317.66977559885
forecast_0092,2025-01-04 20:00:00,13563.879004486993,15134.590152920216,12534.167947600676
forecast_0093,2025-01-04 21:00:00,13748.504891882341,14572.233528635634,12255.289992779146
forecast_0094,2025-01-04 22:00:00,13825.04170857493,15276.99995930887,12720.026514132223
forecast_0095,2025-01-04 23:00:00,15973.959140107416,16288.9806160615,14461.505351077114
forecast_0096,2025-01-05 00:00:00,16741.326932795004,16675.474914516468,13758.852565530333
forecast_0097,2025-01-05 01:00:00,14481.680090238826,15546.170109741315,12182.175361582818
forecast_0098,2025-01-05 02:00:00,14539.404442100906,15064.508789845999,11019.371874236072
forecast_0099,2025-01-05 03:00:00,14356.26118119585,15145.403567723164,11190.12195957488
forecast_0100,2025-01-05 04:00:00,12650.856039504139,14576.975222748972,10078.353432066726
forecast_0101,2025-01-05 05:00:00,11386.671800134796,13029.74668734917,9056.55821946834
forecast_0102,2025-01-05 06:00:00,9432.36173880044,12326.908135551494,8243.263754864254
forecast_0103,2025-01-05 07:00:00,9186.763258042753,11606.373770412749,7801.42947660014
forecast_0104,2025-01-05 08:00:00,9263.882364813453,12479.958679060746,7891.086636460724
forecast_0105,2025-01-05 09:00:00,9915.262571897356,11945.598107589612,7911.365420690128
forecast_0106,2025-01-05 10:00:00,10967.295856726883,12672.868317509758,10726.546023027477
forecast_0107,2025-01-05 11:00:00,13281.521033684085,15006.09743974672,13925.068342618819
forecast_0108,2025-01-05 12:00:00,13709.684148168823,14990.975378303345,14373.42365267339
forecast_0109,2025-01-05 13:00:00,12854.912805676076,14421.699756285683,14433.543950182198
forecast_0110,2025-01-05 14:00:00,12307.106444941339,13619.096713828098,13489.626045116098
forecast_0111,2025-01-05 15:00:00,10661.77067992111,12738.30622240572,12351.173628013923
forecast_0112,2025-01-05 16:00:00,9937.932557424752,12608.520576295712,10295.418003251041
forecast_0113,2025-01-05 17:00:00,9543.397333862082,11553.392689859416,9491.23843488982
forecast_0114,2025-01-05 18:00:00,9828.071323218139,10638.947559245667,9260.203690132988
forecast_0115,2025-01-05 19:00:00,10182.842555209992,10912.907664277207,9555.671191867326
forecast_0116,2025-01-05 20:00:00,10428.023820307842,11382.863178735435,10328.628175240154
forecast_0117,2025-01-05 21:00:00,11333.502982547168,12930.976402136737,11301.465608887862
forecast_0118,2025-01-05 22:00:00,11793.010234246101,13425.663658841264,11819.610213671707
forecast_0119,2025-01-05 23:00:00,11298.510514784919,13036.750373450799,10648.065754598625
forecast_0120,2025-01-06 00:00:00,10077.527596573666,11938.192570739193,10098.06281902413
forecast_0121,2025-01-06 01:00:00,10500.793791715862,11781.010631789473,9192.191865973336
forecast_0122,2025-01-06 02:00:00,10067.93637144242,11574.175965132135,9321.297372767714
forecast_0123,2025-01-06 03:00:00,10398.948950219314,11443.253943489899,8565.148673443407
forecast_0124,2025-01-06 04:00:00,9152.770753481851,10962.746621136877,7305.804614615699
forecast_0125,2025-01-06 05:00:00,8150.50058215336,9311.416370307157,6209.407646893191
forecast_0126,2025-01-06 06:00:00,6793.086084983026,8425.438876406586,6038.002318518784
forecast_0127,2025-01-06 07:00:00,4686.238305986427,6324.465698061361,4720.6606249609595
forecast_0128,2025-01-06 08:00:00,4194.394835963578,4542.574737305402,4162.260825221001
forecast_0129,2025-01-06 09:00:00,5256.641490940706,6244.471511346862,4630.115785650377
forecast_0130,2025-01-06 10:00:00,5005.3347198260935,5762.432344680925,5723.837909206613
forecast_0131,2025-01-06 11:00:00,5870.423831723927,6296.348613783621,6521.165572008238
forecast_0132,2025-01-06 12:00:00,7350.204597053647,7901.700750456311,7526.2597013811965
forecast_0133,2025-01-06 13:00:00,8116.512056730472,8729.702903944577,7558.207232275719
forecast_0134,2025-01-06 14:00:00,7574.987901699626,7920.795514606323,7173.413882620677
forecast_0135,2025-01-06 15:00:00,8212.229740816543,8859.976481926215,7629.03802114173
forecast_0136,2025-01-06 16:00:00,9830.023623896637,9857.293021680223,8666.938264606755
forecast_0137,2025-01-06 17:00:00,10231.927410473349,9802.737759210295,8646.317660901694
forecast_0138,2025-01-06 18:00:00,10964.169004524087,10442.396744218784,9340.374650396232
forecast_0139,2025-01-06 19:00:00,11644.154339567229,12022.653436022045,9557.725901153766
forecast_0140,2025-01-06 20:00:00,12395.961490551696,11896.502370584698,10921.413193992174
forecast_0141,2025-01-06 21:00:00,11964.28197810095,11881.654157566101,11205.9451987463
forecast_0142,2025-01-06 22:00:00,12057.442379410839,11884.734533078738,11176.968200808358
forecast_0143,2025-01-06 23:00:00,12703.957728857953,12343.405109341422,11169.749328529444
