forecast_id,forecast_kst_dtm,kpx_group_1,kpx_group_2,kpx_group_3
forecast_0001,2025-01-01 01:00:00,18877.386334478622,18352.36225316898,14557.601702998265
forecast_0002,2025-01-01 02:00:00,18500.555294303478,17965.439688286515,13628.892595692743
forecast_0003,2025-01-01 03:00:00,16477.225614588337,17608.237332480086,13285.148389891843
forecast_0004,2025-01-01 04:00:00,15941.903409237375,16790.560139351466,13148.58094013918
forecast_0005,2025-01-01 05:00:00,16012.74202518296,16903.062411341067,12880.410552371659
forecast_0006,2025-01-01 06:00:00,16120.926413225712,16501.921451013837,12491.023167771184
forecast_0007,2025-01-01 07:00:00,14225.357157501021,13420.982766092076,10048.916356459707
forecast_0008,2025-01-01 08:00:00,12991.724943963598,11869.962324893895,9508.742377629727
forecast_0009,2025-01-01 09:00:00,13757.609130331002,12921.910048070575,10408.588452200436
forecast_0010,2025-01-01 10:00:00,14331.63643810638,13902.679078694624,11057.625144493431
forecast_0011,2025-01-01 11:00:00,14293.33218219744,14411.495388961657,11384.717441073046
forecast_0012,2025-01-01 12:00:00,14768.919701205916,14037.031641638925,10212.849538431952
forecast_0013,2025-01-01 13:00:00,14879.439681071817,14191.500478679332,10389.104359944744
forecast_0014,2025-01-01 14:00:00,15024.939182811791,13740.689563228181,10635.800282369972
forecast_0015,2025-01-01 15:00:00,14501.3580240934,13595.183886731984,10172.124237688942
forecast_0016,2025-01-01 16:00:00,13899.955259602664,13426.133567030389,9406.756113875308
forecast_0017,2025-01-01 17:00:00,13179.268432046863,12910.181222077825,9678.97183981065
forecast_0018,2025-01-01 18:00:00,13175.525912230296,13058.527965143892,10129.672983567074
forecast_0019,2025-01-01 19:00:00,13750.050612700516,14158.432026870922,10138.705281491042
forecast_0020,2025-01-01 20:00:00,15768.74682576773,15297.905958934909,11020.464625926577
forecast_0021,2025-01-01 21:00:00,16874.026969724815,16309.668431456383,11887.23308713027
forecast_0022,2025-01-01 22:00:00,16589.449935924928,15852.52252228031,11761.381287670964
forecast_0023,2025-01-01 23:00:00,16405.473744279978,16140.868035369127,11673.945190469578
forecast_0024,2025-01-02 00:00:00,15879.765291949203,15680.304869400712,11203.40368958157
forecast_0025,2025-01-02 01:00:00,13362.893268147507,13829.913019604464,8567.958490443249
forecast_0026,2025-01-02 02:00:00,12324.870606058952,13452.011182962297,8460.608592643179
forecast_0027,2025-01-02 03:00:00,11416.673516409448,12553.936612845808,7837.651064267102
forecast_0028,2025-01-02 04:00:00,10243.786580517313,11164.319671471978,7427.652013736441
forecast_0029,2025-01-02 05:00:00,8995.574098346955,10262.389951735948,6937.761199681324
forecast_0030,2025-01-02 06:00:00,8619.906030931763,8876.845311917014,5776.750139984617
forecast_0031,2025-01-02 07:00:00,7929.976770147489,8269.832824158093,5412.817121931741
forecast_0032,2025-01-02 08:00:00,7342.125412724627,7792.282390289868,5154.458637189509
forecast_0033,2025-01-02 09:00:00,7112.725351372967,6902.9117574602815,4500.481747529455
forecast_0034,2025-01-02 10:00:00,5335.445082563038,5850.4642353483305,3609.0416038324624
forecast_0035,2025-01-02 11:00:00,5312.950360603607,5375.430579263177,3352.3696363177755
forecast_0036,2025-01-02 12:00:00,5317.843191656188,5681.861239026696,4183.092751467875
forecast_0037,2025-01-02 13:00:00,5882.70542762192,5967.866125065077,4098.819420114231
forecast_0038,2025-01-02 14:00:00,6766.538494735412,6056.81785196119,3924.5945779561102
forecast_0039,2025-01-02 15:00:00,7450.87877084554,6759.111872066079,4372.423285925379
forecast_0040,2025-01-02 16:00:00,9931.650080798061,8022.576878866285,5631.659825416861
forecast_0041,2025-01-02 17:00:00,10998.851790364137,10034.089894016324,7793.664795630537
forecast_0042,2025-01-02 18:00:00,11703.920612023625,10631.181426878506,8271.859344170225
forecast_0043,2025-01-02 19:00:00,13157.025068027731,12716.821439127178,9188.772847229158
forecast_0044,2025-01-02 20:00:00,13287.664608772902,12901.749446302854,9478.969431108037
forecast_0045,2025-01-02 21:00:00,13467.375708348269,12707.875237913011,9563.292160111656
forecast_0046,2025-01-02 22:00:00,13739.259361322635,13260.24441190173,9025.467219697837
forecast_0047,2025-01-02 23:00:00,14048.754436001376,13583.413582829755,9397.216486169767
forecast_0048,2025-01-03 00:00:00,14296.032337206061,14736.720290760097,9471.993661548904
forecast_0049,2025-01-03 01:00:00,13663.760737628701,13797.46682535836,9042.1808362799
forecast_0050,2025-01-03 02:00:00,13762.535143883606,13843.01582464397,9127.408698890831
forecast_0051,2025-01-03 03:00:00,12561.548775053281,12731.561379860555,8907.697613517275
forecast_0052,2025-01-03 04:00:00,13372.955220331285,13434.418256489142,9310.925204438994
forecast_0053,2025-01-03 05:00:00,13514.801592453206,13402.355048366773,9035.56046574188
forecast_0054,2025-01-03 06:00:00,13576.279307148203,12489.43440316679,8772.316287542582
forecast_0055,2025-01-03 07:00:00,12876.898982846918,12441.81238543754,8152.441916612227
forecast_0056,2025-01-03 08:00:00,13495.31565656426,12677.470249548196,8678.268537347154
forecast_0057,2025-01-03 09:00:00,13063.278872929666,11508.03151103212,6827.9239545299015
forecast_0058,2025-01-03 10:00:00,13175.038346768608,10280.315861061945,5310.527025988424
forecast_0059,2025-01-03 11:00:00,12915.397970764614,9872.057539696209,5794.050917780501
forecast_0060,2025-01-03 12:00:00,12950.156659621292,10279.578107619614,6521.364894410316
forecast_0061,2025-01-03 13:00:00,13077.262086719686,10668.191871740259,6876.919919537345
forecast_0062,2025-01-03 14:00:00,13363.859098811217,11480.447632892547,7407.36576453213
forecast_0063,2025-01-03 15:00:00,13606.642032271104,12016.73654014805,9393.052600098546
forecast_0064,2025-01-03 16:00:00,13951.78798634699,12527.514143191142,10214.428290549336
forecast_0065,2025-01-03 17:00:00,13457.728697809836,12432.099646214401,9992.385084976924
forecast_0066,2025-01-03 18:00:00,11736.223315422825,11386.868978930966,9447.0200028043
forecast_0067,2025-01-03 19:00:00,11904.782901840143,11456.393476162077,9543.035638334939
forecast_0068,2025-01-03 20:00:00,12250.706009643856,11446.660284951653,9492.30857678279
forecast_0069,2025-01-03 21:00:00,12806.784834368867,12705.726716059722,9553.531147797537
forecast_0070,2025-01-03 22:00:00,13638.970154180219,13872.94655941123,9933.792866344802
forecast_0071,2025-01-03 23:00:00,14350.697322190825,14638.783212828906,10251.205510672873
forecast_0072,2025-01-04 00:00:00,14148.588958679866,14132.69015466829,10365.879271640979
forecast_0073,2025-01-04 01:00:00,14581.645254624407,14771.976435486406,10876.393121487785
forecast_0074,2025-01-04 02:00:00,15309.101661005105,15290.502248902369,11027.070056330793
forecast_0075,2025-01-04 03:00:00,15803.367162420225,14993.110439106795,10714.739297467542
forecast_0076,2025-01-04 04:00:00,16240.78393729007,15619.867080137114,11451.954137131184
forecast_0077,2025-01-04 05:00:00,17455.7243968921,16128.526060985178,11427.01222327417
forecast_0078,2025-01-04 06:00:00,17477.723879492878,16079.949588549698,11656.80098071584
forecast_0079,2025-01-04 07:00:00,16516.393190228573,16092.920233086901,10997.573275366345
forecast_0080,2025-01-04 08:00:00,15459.991689906023,15136.560093570904,10977.635729407548
forecast_0081,2025-01-04 09:00:00,14382.975063369286,14430.64354411112,10129.447964634279
forecast_0082,2025-01-04 10:00:00,12504.882237402831,13206.452017146428,8866.879967258516
forecast_0083,2025-01-04 11:00:00,12047.441624702,12273.355529018248,8921.829596124897
forecast_0084,2025-01-04 12:00:00,12661.45682286594,12371.007826419775,9443.07525107159
forecast_0085,2025-01-04 13:00:00,12537.82400854961,12086.178185739294,8885.75243622062
forecast_0086,2025-01-04 14:00:00,12600.9238716694,11267.5116124505,8090.772213407094
forecast_0087,2025-01-04 15:00:00,12175.052181578067,10103.305907897246,7723.02861651188
forecast_0088,2025-01-04 16:00:00,12849.895285921233,11130.402245849615,8541.211459312153
forecast_0089,2025-01-04 17:00:00,13815.62572961885,11637.905742457247,9889.19627369209
forecast_0090,2025-01-04 18:00:00,16020.646233350442,14734.317426188465,11892.45894179494
forecast_0091,2025-01-04 19:00:00,15767.93409951782,15516.361183983392,11093.679107232028
forecast_0092,2025-01-04 20:00:00,15812.038035036521,15649.488431456422,11082.167810974326
forecast_0093,2025-01-04 21:00:00,15792.68103861322,15128.206672361326,10946.721676084064
forecast_0094,2025-01-04 22:00:00,16401.667292846436,16093.324091822964,12325.955790521873
forecast_0095,2025-01-04 23:00:00,17596.120806182455,16621.272942218286,14090.77962503802
forecast_0096,2025-01-05 00:00:00,18774.25975229515,17396.406556844708,13130.67747611712
forecast_0097,2025-01-05 01:00:00,17534.8377044127,16320.998316956267,10886.209485584674
forecast_0098,2025-01-05 02:00:00,16301.985965185095,15465.235356035564,9909.344311386312
forecast_0099,2025-01-05 03:00:00,16422.755256734406,16326.652520751803,10532.353828184616
forecast_0100,2025-01-05 04:00:00,14191.017612748039,15200.403346581572,9455.263034415762
forecast_0101,2025-01-05 05:00:00,12272.389831506658,13434.555066126539,8464.470613937674
forecast_0102,2025-01-05 06:00:00,10298.867700451474,12126.991678632696,7361.630942588158
forecast_0103,2025-01-05 07:00:00,10443.721429335315,12354.112764187039,7291.798526521947
forecast_0104,2025-01-05 08:00:00,11206.164023802055,12948.879269000736,7682.277377430596
forecast_0105,2025-01-05 09:00:00,10948.530442756664,14163.39899321285,7774.274456534601
forecast_0106,2025-01-05 10:00:00,12386.303810656384,13862.016470025228,10657.233554452723
forecast_0107,2025-01-05 11:00:00,14361.347642193736,16466.751764719214,12495.510919805763
forecast_0108,2025-01-05 12:00:00,15876.123917117064,16330.248710242957,13722.937319988208
forecast_0109,2025-01-05 13:00:00,13714.823285940382,14257.121129206978,12083.564871056586
forecast_0110,2025-01-05 14:00:00,12175.576175198186,12810.500145483456,11059.155668546975
forecast_0111,2025-01-05 15:00:00,11825.754656372417,13234.102369697728,10487.07539236863
forecast_0112,2025-01-05 16:00:00,11858.265781166989,13341.458656607503,9831.089405272225
forecast_0113,2025-01-05 17:00:00,10546.87700990401,12251.91961917306,8456.761450779022
forecast_0114,2025-01-05 18:00:00,10698.1603932447,12081.255106823595,8462.796192442844
forecast_0115,2025-01-05 19:00:00,11492.492935579012,13049.864721710519,9374.149537904816
forecast_0116,2025-01-05 20:00:00,12080.318430588663,13119.701792823318,10575.537799499441
forecast_0117,2025-01-05 21:00:00,13623.143158642335,13816.55005733617,10712.85355221574
forecast_0118,2025-01-05 22:00:00,13581.523129172747,14320.248722236684,11219.618629788196
forecast_0119,2025-01-05 23:00:00,12923.43401088412,13404.221398020418,10464.16344085348
forecast_0120,2025-01-06 00:00:00,11591.185631263836,12580.596702976292,8977.685416668317
forecast_0121,2025-01-06 01:00:00,11282.567340205997,11263.37946535883,7886.532087121717
forecast_0122,2025-01-06 02:00:00,11191.991950318063,11295.918516137377,7378.436456283819
forecast_0123,2025-01-06 03:00:00,10509.026930106636,10903.95620516013,8053.5732152556175
forecast_0124,2025-01-06 04:00:00,9773.077951061521,10337.670187145244,6713.201492140095
forecast_0125,2025-01-06 05:00:00,8345.999635714503,9726.934861526035,5606.163973216426
forecast_0126,2025-01-06 06:00:00,6798.185773137626,8177.053196724667,5364.619625244957
forecast_0127,2025-01-06 07:00:00,4577.476143858043,5746.54679740104,3368.0513069552167
forecast_0128,2025-01-06 08:00:00,3827.698672383688,4439.861718374904,2833.6605957039424
forecast_0129,2025-01-06 09:00:00,4633.783976966706,5336.7404220028575,3254.504953494199
forecast_0130,2025-01-06 10:00:00,4928.107237166288,5249.194303369454,3897.625810237705
forecast_0131,2025-01-06 11:00:00,6058.814681708192,6484.964802803235,5044.84133242362
forecast_0132,2025-01-06 12:00:00,7917.561480889649,7672.3892394749655,5756.27821410415
forecast_0133,2025-01-06 13:00:00,8276.272449136308,8001.1482465542695,5794.078291202548
forecast_0134,2025-01-06 14:00:00,8129.264326146339,7944.1212207349145,5212.983146754603
forecast_0135,2025-01-06 15:00:00,8649.835805560886,7890.514435457901,6150.241326633714
forecast_0136,2025-01-06 16:00:00,9355.759971630067,9148.564571426587,6602.400040811642
forecast_0137,2025-01-06 17:00:00,10458.1967015968,9400.742768607412,7076.220211612699
forecast_0138,2025-01-06 18:00:00,10970.927789841704,10210.431968635186,7977.315841447388
forecast_0139,2025-01-06 19:00:00,12302.372716110287,11653.595222223856,9717.936739701032
forecast_0140,2025-01-06 20:00:00,13544.676464674141,12554.96076333921,11180.951611931281
forecast_0141,2025-01-06 21:00:00,13218.220177048624,12139.529562506717,10154.377036245523
forecast_0142,2025-01-06 22:00:00,13625.980359493691,12388.769271317216,10605.25012261049
forecast_0143,2025-01-06 23:00:00,14464.14744098964,12527.231404312957,10837.982928456535
forecast_0144,2025-01-07 00:00:00,15258.378507504229,13844.462817260506,11614.476519633079
forecast_0145,2025-01-07 01:00:00,16546.566797932664,15386.457703969012,12453.848385849507
forecast_0146,2025-01-07 02:00:00,16785.009282428848,15998.049088974383,13229.817904413114
forecast_0147,2025-01-07 03:00:00,17411.647077866146,17286.339798194465,13134.548779810855
forecast_0148,2025-01-07 04:00:00,16324.103624158184,16269.157715830945,12649.56438963382
forecast_0149,2025-01-07 05:00:00,15744.85832638668,15743.393731472088,12456.443003564395
forecast_0150,2025-01-07 06:00:00,15422.551243260377,15533.914511223886,12134.429459379462
forecast_0151,2025-01-07 07:00:00,15508.424428759856,15677.982532618842,11799.665794197435
forecast_0152,2025-01-07 08:00:00,15665.087650298376,16101.490972645233,12136.971803370874
forecast_0153,2025-01-07 09:00:00,15843.823713380818,15982.858310707157,12015.876625269808
forecast_0154,2025-01-07 10:00:00,16049.583873064232,16055.663725112272,11792.91795312972
forecast_0155,2025-01-07 11:00:00,16266.789694377727,16156.076405215883,12303.333013348076
forecast_0156,2025-01-07 12:00:00,16358.419100254363,16215.27564073066,12315.543114690412
forecast_0157,2025-01-07 13:00:00,16173.643281084092,16271.09534067671,11894.943030706354
forecast_0158,2025-01-07 14:00:00,16257.860019898366,16053.000702204647,11904.828663438482
forecast_0159,2025-01-07 15:00:00,16271.607395067143,16431.919929060987,12058.446388845206
forecast_0160,2025-01-07 16:00:00,16225.26772810004,15954.719067536258,12142.562165656973
forecast_0161,2025-01-07 17:00:00,16117.861877366417,15800.151237809534,12172.679683354561
forecast_0162,2025-01-07 18:00:00,16272.442026101733,16314.302106157149,12435.691372569907
forecast_0163,2025-01-07 19:00:00,16243.550228860151,16469.30015611042,12867.424765764468
forecast_0164,2025-01-07 20:00:00,16841.681150713008,16850.112578320673,12579.535912088239
forecast_0165,2025-01-07 21:00:00,16403.756815016823,17429.647762817644,12764.442577999476
forecast_0166,2025-01-07 22:00:00,16870.780883941618,17874.104602475745,12992.587543721704
forecast_0167,2025-01-07 23:00:00,16892.326048427145,18020.715009615888,12982.771850095227
forecast_0168,2025-01-08 00:00:00,15813.905050215584,16802.656286063986,12807.540842318811
forecast_0169,2025-01-08 01:00:00,15018.186672453961,17173.86835167559,12226.447407187874
forecast_0170,2025-01-08 02:00:00,14719.91045190366,16658.974615345447,11791.289127571044
forecast_0171,2025-01-08 03:00:00,14529.293745551095,16548.05779830057,11417.110048496028
forecast_0172,2025-01-08 04:00:00,14334.673483274986,16045.508079286104,11003.97628745492
forecast_0173,2025-01-08 05:00:00,14734.254145296833,15500.771654636055,11584.485461583427
forecast_0174,2025-01-08 06:00:00,14606.19259576834,15449.401400516223,11031.211539801274
forecast_0175,2025-01-08 07:00:00,14515.312684750192,15501.42538936377,10952.59185920988
forecast_0176,2025-01-08 08:00:00,14926.908557665096,16082.809846067661,10897.079601730471
forecast_0177,2025-01-08 09:00:00,14804.422753357405,16287.83915996624,10857.502832782324
forecast_0178,2025-01-08 10:00:00,15449.204166660451,16022.151723920359,10596.955910406123
forecast_0179,2025-01-08 11:00:00,15622.826605091974,16298.397153125006,11070.974751906753
forecast_0180,2025-01-08 12:00:00,15929.40771623009,16973.52383081562,10630.391771329016
forecast_0181,2025-01-08 13:00:00,15940.491850356659,16957.920655667258,10689.903012427843
forecast_0182,2025-01-08 14:00:00,15803.03432059677,16863.787608285726,10623.900026188867
forecast_0183,2025-01-08 15:00:00,15327.278936023411,16865.839764516833,10508.520745727224
forecast_0184,2025-01-08 16:00:00,15486.418806463898,16103.034474066651,10842.481168400718
forecast_0185,2025-01-08 17:00:00,14867.514499974157,15883.087182327627,11502.555679384586
forecast_0186,2025-01-08 18:00:00,14717.852697352957,15902.524409275637,11923.360295920304
forecast_0187,2025-01-08 19:00:00,14749.694365147021,17047.5386279818,12193.093482717954
forecast_0188,2025-01-08 20:00:00,14930.789640531286,16769.20204485287,12414.915433138201
forecast_0189,2025-01-08 21:00:00,14772.294452028207,16918.19101091664,12565.806785767978
forecast_0190,2025-01-08 22:00:00,15178.692945458572,16718.955619597895,13141.958470017915
forecast_0191,2025-01-08 23:00:00,14775.733080128179,16911.996367587377,13459.740988833166
forecast_0192,2025-01-09 00:00:00,14278.0264035616,17110.9691278293,12613.21481984255
forecast_0193,2025-01-09 01:00:00,13491.425519937302,15429.388912600094,12160.451185857984
forecast_0194,2025-01-09 02:00:00,13070.963636581691,15527.668386596735,12028.17837678365
forecast_0195,2025-01-09 03:00:00,13056.258753126469,15624.890746072568,11702.978814506916
forecast_0196,2025-01-09 04:00:00,12609.07714296232,15437.421270345432,10749.283668207474
forecast_0197,2025-01-09 05:00:00,12211.37587158327,15371.46440961545,10588.365444347734
forecast_0198,2025-01-09 06:00:00,12321.674184009164,15245.036233468036,11063.944158424698
forecast_0199,2025-01-09 07:00:00,13039.937222869077,15459.102820981652,11348.756677281259
forecast_0200,2025-01-09 08:00:00,13020.91985542349,14921.629317081955,11214.93257446575
forecast_0201,2025-01-09 09:00:00,13390.135080874363,14449.251648058013,10701.621898009604
forecast_0202,2025-01-09 10:00:00,13813.175372385738,15321.12401485718,11423.123897392192
